time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro
145,-1.496376,9.012972,-1.6382325,0.22021692,-0.9935723,-0.24098633
146,-1.8046296,9.680955,-1.5328877,0.24923302,0.93859446,-0.27183503
147,0.1316811,10.062231,-0.1328782,0.11728613,-0.5002986,-0.17134771
148,1.4263457,9.545682,-0.3788824,-0.07147124,0.27458394,-0.26267207
149,-0.350152,9.996989,-0.38965634,-0.12705997,0.4654793,-0.3118467
150,-2.271499,9.364322,-1.043872,-0.31429017,1.0439687,-0.34788775
151,-1.9740193,9.411008,-1.0426749,-0.19608775,0.21563543,0.065973446
152,-2.3391352,9.3104515,-1.091756,-0.08827003,-0.40530908,-0.3023783
153,-1.5119383,9.176376,-1.258153,-3.0543262E-4,-0.310625,-0.1441642
154,-0.85293436,9.422979,-0.76075757,0.27763826,-0.4428773,0.1432479
155,-2.689287,9.275736,-0.7781156,0.35246924,-0.93034774,-0.13164146
156,-1.6214731,9.786898,-1.62686,0.1469131,-0.44501534,0.20769419
157,-0.7445967,9.418191,-1.7369933,0.20005837,-0.12736541,0.4202753
158,-0.08738836,9.9550905,-1.4478935,0.0842994,-0.16340645,0.6041457
159,0.5470751,10.275315,-1.2533646,0.005497787,-0.0015271631,0.4990769
160,0.8331822,9.924564,-0.6434417,0.00580322,0.08674286,0.052839845
161,0.15801731,9.633669,-1.3293805,0.16157386,0.043982297,-0.070554934
162,0.11192893,9.639056,-1.5035586,0.23518312,0.08093964,-0.058948494
163,0.29568392,9.663596,-1.7830818,0.25381452,0.06352998,-0.0125227375
164,0.38965634,9.739613,-2.166154,0.21991149,0.022602014,-0.034208454
165,0.18734628,9.53012,-2.1697452,0.15515977,0.0021380284,-0.07788532
166,0.16879122,9.589975,-2.2732944,0.15057829,-3.0543262E-4,-0.021380283
167,0.27234045,9.601946,-2.4732103,0.13103059,-0.010995574,0.005192355
168,0.22325931,9.546281,-2.5330653,0.07086037,-0.008552114,0.0
169,0.15083471,9.448717,-2.4313118,0.07513642,9.162979E-4,0.06872234
170,0.61171854,9.673173,-2.819771,-0.03390302,-0.015577064,0.13805555
171,0.61411273,9.577405,-2.5264814,-0.06963864,0.018325957,0.036957346
172,0.49919105,9.556456,-2.48578,-0.045814894,0.036957346,0.020158553
173,0.6512229,9.5809965,-2.4546554,-0.025045475,0.040011674,0.011911872
174,0.64463884,9.601946,-2.48578,-0.04428773,0.044593163,0.017715093
175,0.6452374,9.5798,-2.256535,-0.056199603,0.034513887,0.009773844
176,0.7697359,9.655217,-2.4498668,-0.054061573,0.008552114,0.004886922
177,0.7080852,9.588778,-2.1709423,-0.07269296,-0.015271631,-0.033292156
178,0.62728083,9.604341,-2.142212,-0.032986723,0.004276057,-0.05375614
179,0.7110779,9.609129,-2.2230163,-0.009162978,0.01985312,-0.028405234
