Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1.48E+09,1.141542,-1.122418,-3.721332,-0.106748,0.304605,-0.128666
1.48E+09,0.806354,-1.577951,-4.345199,-0.99893,0.210957,-0.313447
1.48E+09,-0.936825,-1.70926,-1.180595,-2.358243,-0.885748,-0.978599
1.48E+09,0.40675,0.375542,-1.65999,1.25561,0.044759,0.548815
1.48E+09,0.597398,0.247943,-1.644046,3.120138,0.850384,0.980305
1.48E+09,0.058115,-0.34038,-1.774357,0.246642,-0.443688,-0.414815
1.48E+09,-0.035189,-0.340858,-1.638333,0.169253,-8.68E-04,-0.035651
1.48E+09,0.167764,-0.390599,-1.315686,-0.004652,0.233672,0.159419
1.48E+09,0.024973,-0.483104,-1.008346,0.063632,0.086545,0.015287
1.48E+09,-0.417761,-0.379142,-0.749125,0.204725,0.044848,-0.077037
1.48E+09,-0.644138,-0.177232,-0.511738,0.098029,0.089608,0.019879
1.48E+09,-0.633121,-0.655917,-0.200564,-0.111853,0.070311,0.111183
1.48E+09,-0.610781,-1.24606,0.283131,0.066465,-0.148321,-0.089923
1.48E+09,-0.75306,-1.176527,1.170308,0.147509,-0.282154,-0.080919
1.48E+09,-0.073498,-0.564553,1.527913,0.251129,-0.536911,0.181776
1.48E+09,0.344041,0.171763,1.327731,0.17477,-0.611862,0.050624
1.48E+09,0.458671,0.728871,1.045256,-0.22757,-0.316008,-0.280353
1.48E+09,0.104669,0.304958,0.762764,-0.303194,-0.407972,-0.036506
1.48E+09,0.552869,-0.697248,0.412084,0.005051,-0.643794,0.073163
1.48E+09,1.091299,-1.576694,0.378286,0.15878,-0.750302,0.282117
1.48E+09,1.300824,-1.562797,0.346736,0.335157,-0.463932,-0.358749
1.48E+09,1.544226,-1.233952,0.386398,0.209757,-0.321669,-0.206039
1.48E+09,1.47512,-0.632248,-0.035619,0.062901,-0.196182,0.099239
1.48E+09,0.840247,0.187823,-0.798179,0.050355,-0.085591,0.058788
1.48E+09,0.579854,-0.457744,-0.542071,-0.276237,-0.259775,-0.027047
1.48E+09,0.42095,-0.650196,0.311269,-0.658534,-0.194275,-0.203217
1.48E+09,0.194766,-0.118808,1.070473,-0.162935,0.573008,-0.165121
1.48E+09,0.196799,0.356076,1.07107,0.104659,1.294783,0.252241
1.48E+09,0.259969,0.394844,0.335456,0.140492,1.38256,0.074566
1.48E+09,0.187454,0.263842,-0.017825,-0.040505,1.097322,-0.086108
1.48E+09,0.120651,0.422063,0.234868,-0.25564,0.197046,5.09E-04
1.48E+09,0.288613,0.761002,0.635075,-0.01968,0.029174,0.102421
1.48E+09,0.244965,0.854941,0.755504,0.04031,-0.191645,0.13248
1.48E+09,0.138121,0.623843,0.515025,-0.097915,-0.244854,0.202998
1.48E+09,2.81E-04,0.31167,0.192046,-0.075199,-0.016686,0.161163
1.48E+09,-0.055447,-0.1186,-0.00386,0.075863,0.06617,-0.035495
1.48E+09,-0.065308,-0.282118,0.022061,0.138382,0.052027,-0.112532
1.48E+09,-0.091801,-0.152043,-0.023443,0.104384,0.020299,-0.082685
1.48E+09,-0.312894,-0.155395,-0.076863,-0.012368,-0.002368,0.036658
1.48E+09,-0.318826,-0.200996,-0.099482,-0.006797,-0.006324,0.049028
1.48E+09,-0.203557,-0.094093,-0.082452,-0.020327,0.029091,-0.023324
