accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
3311.937666,0.471450806,0.473114014,-0.038269043,3287.306,0.057016415,0.056669405,0.230544263
3371.080666,0.113204956,0.698257446,-0.007324219,3357.252,-0.114359067,-0.341000733,-0.437572014
3430.253666,0.550811768,0.68560791,-0.188354492,3427.199,0.47707415,0.343226337,-0.187643401
3489.397666,0.432815552,0.484451294,-0.198135376,3462.172,0.403790881,-0.052163336,-0.262992218
3548.570666,0.391525269,0.714553833,0.168746948,3532.118,0.124046581,-0.653196716,0.046680154
3607.713666,0.290206909,1.526016235,0.301513672,3602.064,0.109606922,-1.1615702,0.127458623
3666.856666,0.34274292,1.330413818,-0.281448364,3672.011,1.27897033,-0.033609093,-0.133063246
3726.030666,0.455825806,0.72076416,-0.396347046,3706.984,0.872498178,0.778629473,0.141892957
3785.173666,0.251739502,0.711181641,-0.467559814,3776.93,-0.209439777,0.697127689,-0.173570725
3844.346666,0.330825806,0.146438599,-0.154983521,3811.903,-0.212088823,0.731090716,0.002714294
3903.490666,0.171813965,0.74382019,-0.172348022,3881.85,-0.905097134,-0.082995019,-0.035587289
3962.633666,0.154464722,0.815429688,-0.109802246,3951.796,-0.487890579,0.054387875,0.100695719
4021.806666,0.390319824,1.442474365,0.277938843,3986.738,-0.524612641,0.513797544,0.028640966
4080.949666,0.428451538,0.714004517,-0.041030884,4056.685,0.05893975,0.754231722,-0.287278649
4140.092666,1.124969482,1.485687256,0.018478394,4126.631,0.333349738,-0.451934709,-0.167497653
4199.235666,0.669876099,1.097961426,-0.16192627,4196.577,-0.579517968,-0.265671358,-0.016186959
4258.409666,0.493331909,0.237838745,0.011398315,4231.55,0.197831057,0.073906981,-0.143372076
4317.552666,0.329238892,0.754241943,-0.144851685,4301.497,-0.267687637,-0.665574024,-0.202944593
4376.695666,0.337493896,0.60760498,0.019378662,4371.443,0.148746602,-0.21814059,-0.206193117
4435.838666,0.299636841,0.494430542,-0.02532959,4406.416,0.329276433,-0.396500744,-0.345598415
4494.981666,0.108413696,0.993423462,0.239471436,4476.362,0.05197585,-0.932847539,-0.274757264
4554.124666,0.476150513,1.86138916,-0.300064087,4546.309,1.221896391,0.095555551,0.331219742
4613.267666,0.545593262,0.570602417,-0.492782593,4616.255,0.473290331,0.979906395,0.033007485
4672.410666,0.304397583,1.055603027,-0.504882813,4651.228,0.186532064,0.785588313,-0.026040922
4731.554666,0.15272522,0.12020874,-0.182662964,4721.174,-0.658348335,0.341411393,-0.132957252
4790.697666,0.428894043,0.879516602,-0.200622559,4791.121,-0.688607171,0.476714091,0.281520628
4849.840666,0.126235962,0.676742554,-0.131713867,4826.094,-0.378182191,0.276542115,0.412750022
4908.983666,0.402618408,0.68019104,-0.129684448,4896.04,-0.493012637,0.840529593,0.207768909
4968.126666,0.374908447,1.523895264,0.335968018,4931.013,-0.422140328,0.428785447,0.231370109
5027.269666,1.033676147,1.525009155,-0.005386353,5000.96,0.394152901,0.767780021,0.379076746
5086.442666,0.158126831,0.365783691,-0.334915161,5070.906,0.593268401,0.028085697,-0.025286981
5145.585666,0.627212524,1.082748413,0.069122314,5140.852,-0.189040495,0.145534829,0.172243406
5204.729666,0.427246094,0.665893555,-0.117202759,5175.795,0.035669847,0.08717192,0.167414296
5263.872666,0.244445801,0.654312134,-0.15284729,5245.741,0.028206604,-0.197780191,-0.354999373
5323.015666,0.507324219,0.707336426,-0.033538818,5315.687,0.354334915,0.03923795,-0.280299569
5382.158666,0.460739136,0.594619751,-0.19859314,5350.661,0.245890995,-0.16283792,-0.231375169
5441.331666,0.476303101,0.637649536,0.009918213,5420.607,0.073563966,-0.470084418,-0.133576171
5500.474666,0.285766602,1.789596558,0.068832397,5490.553,0.2095993,-0.515493711,0.297180548
5559.617666,0.56892395,1.856887817,-0.265411377,5560.499,0.331730536,-0.765589039,0.091565071
5618.761666,0.287796021,0.636276245,-0.243881226,5595.473,0.657568029,-0.110492689,0.121185548
5677.904666,0.221939087,0.548858643,-0.353713989,5665.419,-0.303705825,-0.125567513,-0.71770487
5737.047666,0.155273438,0.745513916,-0.115707397,5735.365,-0.371060099,-0.5013209,-0.125596541
5796.220666,0.292053223,1.19078064,-0.150253296,5770.338,-0.517792019,-0.217444972,0.032876724
5855.363666,0.292297363,0.706893921,-0.157119751,5840.285,-0.300131331,0.599522302,-0.099384911
5914.506666,0.245864868,1.045913696,-0.000701904,5910.231,-0.674282028,0.393915614,-0.261044648
5973.649666,0.676040649,1.146255493,0.142608643,5945.204,-0.159821091,0.5409522,-0.127728934
6032.823666,0.343307495,1.000991821,0.005340576,6015.15,-0.194050168,0.080333455,0.123836991
6091.966666,0.276550293,0.790359497,-0.02180481,6085.097,0.091324321,0.250643406,-0.118323448
6151.109666,0.417709351,0.9659729,-0.047164917,6120.07,0.131455229,0.535221343,0.136527486
6210.283666,0.384521484,0.918960571,-0.024917603,6190.016,0.03587784,0.157372048,-0.036187832
6269.426666,0.31477356,0.914535522,-0.038162231,6259.962,-0.016216254,0.032087895,0.030898261
6328.569666,0.36328125,0.929992676,-0.028747559,6294.935,-0.052599828,0.065915368,-0.005719671
6387.712666,0.345809937,0.93409729,-0.048461914,6364.851,-0.040370859,-0.032314264,-0.062594406
