time(ms),time (ds),time_raw,x_accel,y_accel,z_accel,g_measured
6676.237,667.6237,5336.651454,-0.208557,-0.946533,-0.185867,0.986898
6705.783,670.5783,5336.681,-0.266846,-0.972168,-0.211929,1.030161
6735.318,673.5318,5336.710535,-0.258423,-1.006073,-0.195328,1.056938
6764.877,676.4877,5336.740094,-0.262787,-1.008759,-0.151764,1.053415
6794.422,679.4422,5336.769639,-0.279556,-1.044662,-0.110489,1.087051
6823.968,682.3968,5336.799185,-0.33606,-1.003693,-0.145355,1.068393
6853.512,685.3512,5336.828729,-0.461716,-0.963745,-0.221649,1.091382
6883.054,688.3054,5336.858271,-0.745804,-0.962799,-0.276672,1.248901
6912.609,691.2609,5336.887826,-0.75795,-1.05925,-0.31456,1.339943
6942.154,694.2154,5336.917371,-0.390671,-1.041702,-0.268982,1.144604
6971.701,697.1701,5336.946918,-0.17897,-0.984558,-0.198792,1.020247
7001.247,700.1247,5336.976464,-0.332016,-0.864517,-0.055603,0.927748
7030.788,703.0788,5337.006005,-0.431,-0.824615,0.024796,0.930788
7060.324,706.0324,5337.035541,-0.353683,-0.870895,0.074661,0.942934
7089.871,708.9871,5337.065088,0.015472,-0.890289,0.124359,0.899066
7119.414,711.9414,5337.094631,0.009979,-0.852341,0.22699,0.882105
7148.958,714.8958,5337.124175,-0.382324,-0.765701,0.52121,1.002063
7178.499,717.8499,5337.153716,-0.117691,-0.944305,0.424637,1.042056
7208.041,720.8041,5337.183258,0.299332,-1.131454,0.073196,1.172666
7237.578,723.7578,5337.212795,-0.017227,-1.166199,0.300613,1.204444
7267.124,726.7124,5337.242341,0.076187,-1.052841,0.225845,1.079484
7296.668,729.6668,5337.271885,0.210266,-1.025482,0.069473,1.04912
7326.211,732.6211,5337.301428,-0.02623,-0.974075,0.250229,1.006044
7355.754,735.5754,5337.330971,-0.067169,-1.005661,0.223175,1.032314
7385.298,738.5298,5337.360515,-0.285767,-0.953445,0.356171,1.057156
7414.821,741.4821,5337.390038,-0.193985,-1.033554,0.415955,1.130877
7444.383,744.4383,5337.4196,0.054367,-0.999283,0.262146,1.034525
7473.926,747.3926,5337.449143,0.219681,-0.936218,0.25293,0.994353
7503.468,750.3468,5337.478685,0.131409,-0.93187,0.243607,0.972108
