time (ms),time (ds),accelerometerTimestamp_sinceReboot,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
290.383,29.0383,20030.01234,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.13968658,-7.75642395,-34.12885284,283.0444641,269.5857849,10,20030.01234,-0.071655273,-0.143218994,-1.077987671,20030.00197,-0.227681897,-0.106349876,-0.781416738,20030.00197,1.4073861,-0.023947291,0.184910183,-0.151252329,-0.18432261,-0.776972413,-0.043876525,-0.000864652,0.074742466,-0.078101808,-0.050642284,-0.643385415,-0.759862274,-0.023536807,-0.183858246,-0.982670963,22.37528801,-4.425210953,-30.257164,2
300.056,30.0056,20030.02202,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,23.99999237,-7.337333679,-34.32996368,283.94104,270.4823608,10,20030.02202,-0.010391235,-0.147720337,-0.966018677,20030.02195,-0.178351632,-0.870420114,-1.025052301,20030.02195,1.388801948,-0.035011499,0.182014818,-0.101922296,-0.94839257,-1.020608068,-0.037229165,0.037792481,-0.095109403,-0.080981722,-0.044752954,-0.635956896,-0.766157921,-0.034426108,-0.181011468,-0.982878268,22.25997353,-3.77879858,-30.42935944,2
309.722,30.9722,20030.03168,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,23.99999237,-7.337333679,-34.32996368,283.94104,270.4823608,10,20030.03168,0.00302124,-0.154129028,-0.90914917,20030.02195,-0.178351632,-0.870420114,-1.025052301,20030.02195,1.388801948,-0.035011499,0.182014818,-0.101922296,-0.94839257,-1.020608068,-0.037229165,0.037792481,-0.095109403,-0.080981722,-0.044752954,-0.635956896,-0.766157921,-0.034426108,-0.181011468,-0.982878268,22.25997353,-3.77879858,-30.42935944,2
319.415,31.9415,20030.04137,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,23.99999237,-7.337333679,-34.32996368,283.94104,270.4823608,10,20030.04137,-0.032302856,-0.208328247,-0.892166138,20030.03192,-0.029686523,-0.943345188,-1.163542271,20030.03192,1.377341633,-0.042897746,0.182476033,0.046742417,-1.021317124,-1.159098029,0.045193836,0.027336024,0.07334353,-0.083903484,-0.041398732,-0.631213903,-0.769945037,-0.042172596,-0.181465045,-0.982492685,22.25997353,-3.77879858,-30.42935944,2
329.092,32.9092,20030.05105,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.24446106,-6.813468933,-34.36348724,285.0249634,271.5662842,10,20030.05105,-0.082672119,-0.265182495,-0.883529663,20030.05192,0.156632222,-1.169571934,-1.273691679,20030.05192,1.352204984,-0.06116778,0.187418055,0.23306106,-1.247543693,-1.269247413,0.02775632,-0.022005459,0.088485032,-0.092004785,-0.034778374,-0.620488908,-0.778022557,-0.060059179,-0.186322793,-0.98065114,21.60756683,-3.160963774,-30.96535683,2
338.761,33.8761,20030.06072,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.31430817,-6.324539185,-34.76569366,287.0267639,273.5680847,10,20030.06072,-0.125518799,-0.258666992,-0.80329895,20030.05192,0.156632222,-1.169571934,-1.273691679,20030.05192,1.352204984,-0.06116778,0.187418055,0.23306106,-1.247543693,-1.269247413,0.02775632,-0.022005459,0.088485032,-0.092004785,-0.034778374,-0.620488908,-0.778022557,-0.060059179,-0.186322793,-0.98065114,21.60756683,-3.160963774,-30.96535683,2
348.425,34.8425,20030.07038,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.31430817,-6.324539185,-34.76569366,287.0267639,273.5680847,10,20030.07038,-0.166213989,-0.17376709,-0.709075928,20030.06192,0.128319091,-1.060870753,-1.174373081,20030.06192,1.340113715,-0.070811058,0.19036921,0.204747632,-1.138842225,-1.169928789,-0.056045074,-0.069445543,0.1761747,-0.096328918,-0.031367353,-0.615195058,-0.781838774,-0.069473721,-0.189221442,-0.97947365,21.60756683,-3.160963774,-30.96535683,2
358.125,35.8125,20030.08008,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.31430817,-6.324539185,-34.76569366,287.0267639,273.5680847,10,20030.08008,-0.168533325,-0.078704834,-0.652313232,20030.0819,0.010496583,-0.014675083,-0.565970467,20030.0819,1.323725706,-0.078483116,0.194244153,0.08692497,-0.09264642,-0.561526239,-0.089285873,0.019257868,0.269097596,-0.100432897,-0.028748469,-0.608219202,-0.786864767,-0.076928116,-0.193024963,-0.978173494,20.53783798,-2.517881632,-31.74254608,2
367.802,36.7802,20030.08976,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.31430817,-6.324539185,-34.76569366,287.0267639,273.5680847,10,20030.08976,-0.136169434,-0.024047852,-0.638824463,20030.0819,0.010496583,-0.014675083,-0.565970467,20030.0819,1.323725706,-0.078483116,0.194244153,0.08692497,-0.09264642,-0.561526239,-0.089285873,0.019257868,0.269097596,-0.100432897,-0.028748469,-0.608219202,-0.786864767,-0.076928116,-0.193024963,-0.978173494,20.53783798,-2.517881632,-31.74254608,2
377.481,37.7481,20030.09944,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.31430817,-6.324539185,-34.76569366,287.0267639,273.5680847,10,20030.09944,-0.062194824,-0.015426636,-0.653564453,20030.0819,0.010496583,-0.014675083,-0.565970467,20030.0819,1.323725706,-0.078483116,0.194244153,0.08692497,-0.09264642,-0.561526239,-0.089285873,0.019257868,0.269097596,-0.100432897,-0.028748469,-0.608219202,-0.786864767,-0.076928116,-0.193024963,-0.978173494,20.53783798,-2.517881632,-31.74254608,2
387.153,38.7153,20030.10911,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.1396904,-5.800682068,-35.13439178,286.5406494,273.0819702,10,20030.10911,0.028381348,-0.038314819,-0.691741943,20030.11187,0.122265459,1.593701376,0.313858062,20030.11187,1.323609027,-0.050728995,0.197378485,0.198693544,1.515730381,0.318302274,-0.012472115,0.18067275,0.3257581,-0.093213126,-0.040620586,-0.609383114,-0.786329131,-0.049722709,-0.196099386,-0.979322553,20.90986824,-2.402251005,-31.50775146,2
396.838,39.6838,20030.1188,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.1396904,-5.800682068,-35.13439178,286.5406494,273.0819702,10,20030.1188,0.057281494,-0.015548706,-0.761138916,20030.11187,0.122265459,1.593701376,0.313858062,20030.11187,1.323609027,-0.050728995,0.197378485,0.198693544,1.515730381,0.318302274,-0.012472115,0.18067275,0.3257581,-0.093213126,-0.040620586,-0.609383114,-0.786329131,-0.049722709,-0.196099386,-0.979322553,20.90986824,-2.402251005,-31.50775146,2
406.514,40.6514,20030.12847,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.48892975,-5.591140747,-35.26847076,287.1683655,273.7096863,10,20030.12847,0.058044434,0.021011353,-0.836593628,20030.12187,0.308185529,1.771250065,0.548330487,20030.12187,1.328798062,-0.035065013,0.200513837,0.384613216,1.693279386,0.552774668,0.091636918,0.183624193,0.21822305,-0.089542208,-0.047970926,-0.612014153,-0.784295645,-0.034355421,-0.199172899,-0.979361951,20.90986824,-2.402251005,-31.50775146,2
416.17,41.617,20030.13813,1478281986,37.35291657,-122.0347936,48.4447,0,-1,12,10,1478281986,24.48892975,-5.591140747,-35.26847076,287.1683655,273.7096863,10,20030.13813,0.041702271,0.007034302,-0.852172852,20030.13186,0.474921251,1.656308565,0.747837738,20030.13186,1.336126072,-0.020360437,0.205467041,0.551348746,1.578338146,0.752281904,0.077975228,0.225035757,0.142169267,-0.086775167,-0.055575373,-0.615348994,-0.781490284,-0.019930795,-0.204024404,-0.978762925,20.90986824,-2.402251005,-31.50775146,2
