time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
5022.834,502.2834,-0.800018,0.139908,-0.255127,0.851289,4011.266507
5052.377,505.2377,-0.794449,-1.022766,-0.457275,1.373426,4011.29605
5081.922,508.1922,-0.43425,-1.694855,-0.568878,1.839763,4011.325595
5111.466,511.1466,-0.227737,-2.379868,-0.41893,2.427166,4011.355139
5141.011,514.1011,0.288116,-2.217972,0.860474,2.396419,4011.384684
5170.554,517.0554,0.120911,-1.366104,1.32283,1.90545,4011.414227
5200.096,520.0096,0.985886,-1.295975,1.190308,2.017016,4011.443769
5229.638,522.9638,0.45015,-1.405136,1.506958,2.10902,4011.473311
5259.181,525.9181,2.160065,1.639069,0.54483,2.765731,4011.502854
5288.725,528.8725,1.178345,-3.380234,-0.919662,3.695978,4011.532398
5318.268,531.8268,0.691284,-0.126129,1.428345,1.591839,4011.561941
5347.813,534.7813,1.236237,0.532394,1.357407,1.911616,4011.591486
5377.355,537.7355,1.77951,-0.50885,1.474091,2.366121,4011.621028
5406.899,540.6899,1.273285,-1.014572,1.439957,2.173496,4011.650572
5436.444,543.6444,0.401962,-0.94072,0.775024,1.283429,4011.680117
5465.986,546.5986,0.394623,-0.555222,0.794998,1.04691,4011.709659
5495.524,549.5524,0.52327,-0.263794,0.547501,0.80197,4011.739197
5525.071,552.5071,1.05545,-0.220139,0.459534,1.17201,4011.768744
5554.616,555.4616,1.027954,-0.490173,0.913498,1.459945,4011.798289
5584.159,558.4159,0.232254,-0.7043,1.083649,1.313116,4011.827832
5613.633,561.3633,-0.526505,-0.901459,1.076614,1.499644,4011.857306
5643.178,564.3178,-0.566391,-2.76796,1.185745,3.064048,4011.886851
5672.718,567.2718,0.629715,-1.510315,0.40715,1.686228,4011.916391
5702.266,570.2266,0.730255,-1.190887,-0.505325,1.485543,4011.945939
5731.81,573.181,-0.183685,-0.86676,-0.718002,1.140413,4011.975483
5761.355,576.1355,-0.900726,-0.188232,-0.359039,0.987749,4012.005028
5790.897,579.0897,-0.961914,-0.426636,-0.43811,1.139841,4012.03457
5820.438,582.0438,-0.826202,-1.42984,-0.478455,1.719294,4012.064111
5849.977,584.9977,-0.099686,-1.945312,-0.48793,2.008047,4012.09365
5879.524,587.9524,-0.059113,-2.460373,0.167801,2.466797,4012.123197
5909.065,590.9065,0.08078,-1.746658,1.123566,2.078399,4012.152738
5938.611,593.8611,0.538712,-1.349106,1.252274,1.917938,4012.182284
5968.156,596.8156,0.665344,-1.408798,1.558899,2.203988,4012.211829
5997.704,599.7704,1.085724,1.092896,-0.117081,1.544968,4012.241377
6027.248,602.7248,1.73024,-1.56781,-0.597351,2.410101,4012.270921
6056.798,605.6798,0.769882,-0.187195,1.477112,1.676192,4012.300471
6086.341,608.6341,0.865707,0.227707,1.156693,1.462613,4012.330014
6115.883,611.5883,1.780182,0.131897,1.341614,2.233019,4012.359556
6145.426,614.5426,1.046051,-1.029114,1.377853,2.012903,4012.389099
6174.967,617.4967,1.000198,-0.656769,1.119553,1.63864,4012.41864
6204.508,620.4508,0.737106,-0.785797,0.653046,1.25987,4012.448181
6234.053,623.4053,0.670792,-0.596863,0.725006,1.154054,4012.477726
6263.595,626.3595,0.829483,-0.378082,0.478394,1.02949,4012.507268
6293.138,629.3138,0.65976,-0.616882,0.819046,1.219288,4012.536811
6322.681,632.2681,0.230255,-0.742844,1.260284,1.480929,4012.566354
6352.223,635.2223,-0.42482,-0.940826,0.963043,1.411764,4012.595896
6381.764,638.1764,-0.213943,-1.913849,1.016235,2.177458,4012.625437
6411.312,641.1312,0.332535,-1.532898,0.491547,1.643768,4012.654985
6440.856,644.0856,0.341568,-1.390533,-0.622238,1.561228,4012.684529
6470.399,647.0399,-0.191406,-0.909805,-0.594894,1.103758,4012.714072
6499.949,649.9949,-0.831726,-0.523148,-0.596085,1.149247,4012.743622
6529.494,652.9494,-0.910919,-0.206268,-0.267792,0.971614,4012.773167
6559.033,655.9033,-0.952805,-1.607666,-0.749908,2.013651,4012.802706
6588.579,658.8579,-0.168427,-1.985626,-0.553848,2.068291,4012.832252
6618.122,661.8122,0.083969,-2.702698,0.151428,2.708239,4012.861795
6647.661,664.7661,0.623276,-1.613434,1.169281,2.087788,4012.891334
6677.203,667.7203,0.349106,-1.709183,1.54126,2.327802,4012.920876
6706.748,670.6748,0.571426,-1.269379,1.547729,2.081662,4012.950421
6736.27,673.627,2.442825,2.2117,0.740585,3.377496,4012.979943
6765.836,676.5836,-1.336288,-7.399109,-1.594147,7.685947,4013.009509
6795.378,679.5378,1.570023,0.291229,1.239166,2.021217,4013.039051
6824.919,682.4919,1.958115,0.605133,1.568634,2.580894,4013.068592
6854.463,685.4463,1.305649,-1.332382,1.383118,2.322278,4013.098136
6884.009,688.4009,0.950333,-0.581528,1.374405,1.769264,4013.127682
6913.557,691.3557,0.551682,-0.613754,0.683044,1.071259,4013.15723
6943.103,694.3103,0.561768,-0.5065,0.735947,1.05534,4013.186776
6972.634,697.2634,0.727722,-0.32283,0.533432,0.958305,4013.216307
7002.194,700.2194,0.661179,-0.364136,0.812225,1.108811,4013.245867
7031.743,703.1743,0.411148,-0.65683,1.155441,1.391227,4013.275416
7061.287,706.1287,-0.519577,-0.950058,1.247299,1.651764,4013.30496
7090.832,709.0832,-0.062408,-1.0392,0.770737,1.295325,4013.334505
7120.38,712.038,0.111145,-2.154434,1.110947,2.426549,4013.364053
7149.929,714.9929,0.391251,-1.395447,-0.478027,1.52606,4013.393602
7179.474,717.9474,0.030869,-1.109421,-0.419724,1.186564,4013.423147
7209.024,720.9024,-0.481079,-0.623657,-0.611237,0.996993,4013.452697
7238.572,723.8572,-0.886261,0.081619,-0.338409,0.952177,4013.482245
7268.12,726.812,-0.990479,-1.040024,-0.521576,1.527985,4013.511793
7297.667,729.7667,-0.486588,-1.803589,-0.627457,1.970635,4013.54134
7327.21,732.721,-0.022354,-2.541122,-0.414459,2.574797,4013.570883
7356.757,735.6757,0.400436,-2.124359,0.64003,2.254526,4013.60043
