time (ms),  accel x,  accel y,  accel z,  magneto x,  magneto y,  magneto z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1477622579273, -19.60911, 19.608511, 0.789488, -2.528, 151.875, 60.334, -2.7021625, 2.4785857, 5.635537, -27.600044, 14.225415, 2.6164076, 56.72951, -146.70683, 77.12214
1477622579375, -8.692748, -9.845556, -4.735731, -21.035, 136.387, 67.17, 1.215011, 3.9700131, 2.3426683, -0.98538494, -15.294413, -2.0754826, 294.32474, -146.24596, -70.957535
1477622579479, -1.822586, -10.681132, 5.2223525, -27.333, 133.877, 59.622, -1.7030923, 1.0903945, 0.25289822, 5.3493752, -4.081216, 4.1386266, 350.90665, 42.29935, -81.40728
1477622579581, -9.164406, 18.827404, -8.868123, -14.37, 140.243, 63.562, 2.8707612, -2.46759, -4.387845, -1.4679418, 23.76902, -12.40581, 348.7891, 30.25867, -65.31407
1477622579695, -2.3427265, 19.25836, -3.6721067, -0.83, 155.993, 53.126, 3.1523702, -1.1646146, -4.11937, -0.20406485, 26.786083, -9.582258, 4.867701, 50.14012, -19.893284
1477622579800, 8.076839, 4.8668137, 0.29987377, 2.784, 168.177, 44.491, -0.29565877, -1.3884968, -1.6395624, 9.40949, -4.8488283, 0.27268824, 218.38708, -82.18817, -7.8102617
1477622579901, 7.181408, 10.852917, -1.9955671, 4.438, 168.666, 46.795, 0.66339964, 0.8881981, 1.2434162, 1.1873231, 3.0997481, -1.6354046, 58.37008, -127.75807, 37.708122
1477622580009, -19.60911, 19.608511, -17.748217, -2.204, 156.024, 66.333, -3.483459, 3.637397, 4.43366, -26.308666, 12.454175, -17.429113, 60.17995, -133.15222, 87.27303
1477622580116, -10.986992, -1.4873978, -2.256535, -18.147, 141.323, 65.47, 0.7684685, 4.819727, 4.1471643, -4.8628836, -8.409935, 1.0212879, 272.5443, -135.0975, -61.84286
1477622580217, -5.0020857, -11.864467, 5.1984105, -25.804, 138.148, 67.134, -0.4981606, 2.1068742, 3.0757065, 4.4206724, -9.160105, 4.936771, 337.4022, 16.007795, -88.40949
1477622580319, -4.900931, 11.332953, 0.4201824, -10.034, 145.48, 71.694, 2.5143213, -3.9336667, -3.2403347, 4.381553, 12.24037, -2.6100814, 338.63452, 5.309215, -71.920746
1477622580420, -7.37055, 19.608511, -10.276512, 6.455, 156.649, 64.288, 2.8710666, -7.804109, -2.5912905, -0.91225195, 20.527649, -17.598804, 344.8323, 5.377999, -41.41246
1477622580523, 5.035006, 2.7030537, -4.8548427, 7.67, 159.353, 47.877, -2.9480357, -3.2779028, 0.49449542, 7.148693, -5.1468763, 0.62979937, 216.23239, -126.82499, -15.07015
1477622580626, 9.698911, -0.3357868, -3.4763808, 0.413, 152.532, 37.994, 0.96883225, -0.41813725, -1.6557503, 3.3244839, -5.359658, 2.027964, 88.71019, -149.18335, 49.18926
1477622580753, -15.921441, 19.608511, -15.191809, -0.378, 152.229, 68.919, -2.0143282, 3.3765576, 2.6218336, -23.08182, 15.057379, -10.273824, 84.47392, -152.34889, 55.51743
1477622580856, -6.9743094, 3.436278, -2.4025815, -17.541, 129.479, 60.083, 0.9969321, 4.8582115, 3.764457, -1.9894767, -4.341982, 0.886878, 256.95398, -127.518036, -32.654488
1477622580959, -5.2810106, -15.240291, 5.0302176, -19.454, 131.953, 59.294, -2.7327056, 2.8496864, 2.4422393, 3.8575087, -11.684618, 5.15286, 338.86908, 158.74141, -89.23112
1477622581061, -16.73547, 1.2108675, 4.5777135, -8.761, 135.53, 55.979, 1.5558738, -3.5375206, -4.4177775, -8.673268, 5.863611, 1.4917324, 346.76068, 28.323404, -69.05458
1477622581163, -18.464682, 19.608511, 12.35049, 4.963, 144.471, 40.234, -1.8958203, -6.0261855, -6.5332036, -13.899904, 26.59665, 7.20276, 355.50037, 45.446186, -41.56519
