time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
309.817,30.9817,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,31.43546104,-8.436592102,-24.56464386,297.1230469,283.6643677,10,20946.27332,0.184326172,-0.346954346,-0.948898315,20946.26778,-0.048388305,0.390255099,0.528122687,20946.26778,0.257780586,0.353079021,0.452609373,0.02945343,0.311766654,0.532423377,-0.055981126,0.08227215,-0.038460802,0.197060264,0.198118154,0.162388846,0.946333087,0.310970753,-0.437313646,-0.84383291,31.22805595,-7.015659332,-24.75749397,2
319.499,31.9499,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,31.4703846,-7.982589722,-24.195961,297.4362183,283.9775391,10,20946.283,0.071563721,-0.350296021,-0.97845459,20946.26778,-0.048388305,0.390255099,0.528122687,20946.26778,0.257780586,0.353079021,0.452609373,0.02945343,0.311766654,0.532423377,-0.055981126,0.08227215,-0.038460802,0.197060264,0.198118154,0.162388846,0.946333087,0.310970753,-0.437313646,-0.84383291,31.22805595,-7.015659332,-24.75749397,2
329.182,32.9182,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.43546104,-7.947662354,-24.16243744,297.3851929,283.9265137,10,20946.29268,0.038330078,-0.351455688,-1.009933472,20946.27777,-0.032136099,0.290929843,0.554876537,20946.27777,0.263327341,0.353028246,0.454904179,0.045705408,0.212441638,0.55917716,-0.239016399,0.089080222,-0.135549784,0.197611291,0.198739466,0.165169031,0.945606469,0.310580105,-0.439376235,-0.842904806,31.22805595,-7.015659332,-24.75749397,2
338.866,33.8866,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.43546104,-7.947662354,-24.16243744,297.3851929,283.9265137,10,20946.30236,0.071853638,-0.371841431,-1.036071777,20946.29773,-0.044689175,0.122947495,0.752828236,20946.29773,0.277203455,0.349121617,0.460491872,0.033152174,0.04445944,0.757128894,-0.268110156,0.092933111,-0.168141931,0.199231904,0.198521742,0.171723859,0.944143359,0.306440234,-0.444388807,-0.841791511,31.3122406,-7.553132534,-24.49159813,2
348.548,34.8548,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.43546104,-7.947662354,-24.16243744,297.3851929,283.9265137,10,20946.31205,0.127059937,-0.383972168,-1.058822632,20946.29773,-0.044689175,0.122947495,0.752828236,20946.29773,0.277203455,0.349121617,0.460491872,0.033152174,0.04445944,0.757128894,-0.268110156,0.092933111,-0.168141931,0.199231904,0.198521742,0.171723859,0.944143359,0.306440234,-0.444388807,-0.841791511,31.3122406,-7.553132534,-24.49159813,2
358.231,35.8231,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.43546104,-7.947662354,-24.16243744,297.3851929,283.9265137,10,20946.32173,0.173995972,-0.37538147,-1.055847168,20946.30774,-0.139252699,0.038638206,0.813924081,20946.30774,0.285779989,0.345044302,0.462922533,-0.061411656,-0.039849535,0.818224728,-0.17557925,0.062592782,-0.216807634,0.199897131,0.19756932,0.175528232,0.943502698,0.302639186,-0.446564943,-0.842015028,31.23030281,-8.024747849,-24.44619179,2
367.915,36.7915,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.43546104,-7.947662354,-24.16243744,297.3851929,283.9265137,10,20946.33141,0.194076538,-0.331497192,-1.068008423,20946.30774,-0.139252699,0.038638206,0.813924081,20946.30774,0.285779989,0.345044302,0.462922533,-0.061411656,-0.039849535,0.818224728,-0.17557925,0.062592782,-0.216807634,0.199897131,0.19756932,0.175528232,0.943502698,0.302639186,-0.446564943,-0.842015028,31.23030281,-8.024747849,-24.44619179,2
377.59,37.759,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.43546104,-7.947662354,-24.16243744,297.3851929,283.9265137,10,20946.34109,0.171539307,-0.247070313,-1.056655884,20946.32773,-0.536067163,0.428999832,1.088051241,20946.32773,0.308086303,0.338103186,0.463910577,-0.458226293,0.350512266,1.092351794,-0.102564387,0.11595159,-0.224329725,0.198796974,0.196571651,0.185415727,0.942051144,0.296640933,-0.44744879,-0.843678713,31.23030281,-8.024747849,-24.44619179,2
387.28,38.728,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.40053749,-8.331817627,-24.33002472,296.274292,282.8156128,10,20946.35078,0.091201782,-0.135803223,-1.060272217,20946.33772,-0.845179472,0.764505931,1.384023513,20946.33772,0.32439187,0.336807357,0.461775605,-0.767338872,0.686018646,1.388324142,-0.124323137,0.198468134,-0.211693808,0.196295332,0.197451523,0.192829132,0.940902739,0.295862436,-0.445538431,-0.84496206,31.1156044,-8.717333794,-24.35511971,2
396.939,39.6939,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282918,31.64499855,-9.135063171,-23.55913544,293.3742981,279.9156189,10,20946.36044,0.034698486,-0.086578369,-1.075744629,20946.33772,-0.845179472,0.764505931,1.384023513,20946.33772,0.32439187,0.336807357,0.461775605,-0.767338872,0.686018646,1.388324142,-0.124323137,0.198468134,-0.211693808,0.196295332,0.197451523,0.192829132,0.940902739,0.295862436,-0.445538431,-0.84496206,31.1156044,-8.717333794,-24.35511971,2
