time (ms),time (ds),locationTimestamp_since1970,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,altimeterRelativeAltitude,altimeterPressure
493.608,49.3608,1478109662,0.204193115,-0.174835205,-0.78604126,-0.092748313,0.37315574,0.0699679,-0.057344617,0.218635109,0.121396912,-0.01752926,0.301161051,0.076568544,1.56E-05,0.084859334,0.144699737,0.1071256,-0.021829359,0.991982106,0.215301156,-0.121098958,-0.969010055,27.52449417,-10.32888603,-29.06954575,-0.344614,101.4225
503.289,50.3289,1478109662,0.191940308,-0.15574646,-0.778198242,-0.442630955,0.196257395,0.083223518,-0.055850421,0.220242467,0.118944708,-0.36741212,0.124262907,0.089824148,-0.012729532,-0.056170765,0.182908341,0.108012201,-0.021173847,0.991981081,0.216922641,-0.118664436,-0.968949616,27.7682457,-10.5859642,-28.74341583,-0.344614,101.4225
512.97,51.297,1478109662,0.184539795,-0.095291138,-0.771972656,-0.874457732,-0.06116269,-0.051636829,-0.054298939,0.219365839,0.112191987,-0.79923898,-0.133157104,-0.045036208,-0.024302294,-0.043789685,0.191701144,0.107737828,-0.020805604,0.992228209,0.216242597,-0.111956775,-0.969899356,27.7682457,-10.5859642,-28.74341583,-0.344614,101.4225
522.65,52.265,1478109662,0.23034668,-0.108932495,-0.654876709,-0.874457732,-0.06116269,-0.051636829,-0.054298939,0.219365839,0.112191987,-0.79923898,-0.133157104,-0.045036208,-0.024302294,-0.043789685,0.191701144,0.107737828,-0.020805604,0.992228209,0.216242597,-0.111956775,-0.969899356,27.7682457,-10.5859642,-28.74341583,-0.344614,101.4225
532.331,53.2331,1478109662,0.218139648,-0.086395264,-0.545913696,-1.459379787,-0.18802157,-0.423216245,-0.055536493,0.213621737,0.087894291,-1.384161234,-0.260015756,-0.416615635,0.019164352,-0.02115133,0.318620324,0.105251066,-0.022897997,0.993088215,0.211182326,-0.087781161,-0.973497033,27.73417854,-10.18144417,-28.92188644,-0.344614,101.4225
542.028,54.2028,1478109662,0.179046631,-0.013977051,-0.57611084,-1.83307748,0.117953003,-0.399758855,-0.055991568,0.21333527,0.070815136,-1.757859111,0.045959018,-0.393158257,0.006949562,-0.0156393,0.428966999,0.105371755,-0.024048167,0.993409294,0.21119009,-0.070755966,-0.974880695,27.73417854,-10.18144417,-28.92188644,-0.344614,101.4225
551.703,55.1703,1478109662,0.170410156,0.092132568,-0.603363037,-1.83307748,0.117953003,-0.399758855,-0.055991568,0.21333527,0.070815136,-1.757859111,0.045959018,-0.393158257,0.006949562,-0.0156393,0.428966999,0.105371755,-0.024048167,0.993409294,0.21119009,-0.070755966,-0.974880695,27.73417854,-10.18144417,-28.92188644,-0.344614,101.4225
561.388,56.1388,1478109662,0.197875977,0.233200073,-0.810806274,-2.682827736,0.400609735,-0.200263322,-0.051341527,0.218265636,0.025113373,-2.607609749,0.328615963,-0.193662763,-0.046058297,0.117243305,0.372603595,0.108551471,-0.024146091,0.99368017,0.216468453,-0.025110733,-0.975966632,27.72080994,-8.553524971,-29.45701981,-0.344614,101.4225
571.067,57.1067,1478109662,0.274353027,0.295944214,-0.80847168,-2.895941609,0.111608554,-0.178562022,-0.047026918,0.219533129,-0.002463142,-2.820723534,0.039614998,-0.171961471,-0.019897344,0.230736941,0.165189996,0.10954469,-0.023504653,0.993703006,0.217773318,0.002463139,-0.975996256,27.72080994,-8.553524971,-29.45701981,-0.344614,101.4225
580.725,58.0725,1478109662,0.237991333,0.280166626,-0.798812866,-2.895941609,0.111608554,-0.178562022,-0.047026918,0.219533129,-0.002463142,-2.820723534,0.039614998,-0.171961471,-0.019897344,0.230736941,0.165189996,0.10954469,-0.023504653,0.993703006,0.217773318,0.002463139,-0.975996256,27.72080994,-8.553524971,-29.45701981,-0.344614,101.4225
