time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
8272.667,827.2667,-0.073441,-0.912674,0.227798,0.943536,5267.548803
8302.21,830.221,-0.009201,-0.893311,0.200363,0.915551,5267.578346
8331.757,833.1757,0.074448,-0.941879,0.136917,0.954686,5267.607893
8361.296,836.1296,0.15239,-0.984283,0.113647,1.002473,5267.637432
8390.846,839.0846,0.214737,-0.954956,0.189255,0.99693,5267.666982
8420.392,842.0392,0.28096,-0.985733,0.248352,1.05465,5267.696528
8449.938,844.9938,0.310608,-0.979996,0.327454,1.078932,5267.726074
8479.484,847.9484,0.115982,-0.946167,0.454071,1.055871,5267.75562
8509.033,850.9033,0.071152,-0.908951,0.550598,1.065088,5267.785169
8538.577,853.8577,0.819885,-0.856842,0.387894,1.247739,5267.814713
8568.129,856.8129,0.255814,-0.804306,0.39122,0.93027,5267.844265
8597.678,859.7678,-0.134628,-0.957214,0.380066,1.038669,5267.873814
8627.229,862.7229,0.18544,-0.928787,0.25618,0.981153,5267.903365
8656.779,865.6779,0.107132,-1.019608,0.133987,1.033939,5267.932915
8686.326,868.6326,0.049988,-1.019958,0.016479,1.021316,5267.962462
8715.871,871.5871,-0.051575,-1.049911,-0.014786,1.051281,5267.992007
8745.424,874.5424,-0.120499,-1.001221,0.002197,1.008448,5268.02156
8774.971,877.4971,-0.129807,-1.000458,0.018524,1.009014,5268.051107
8804.52,880.452,-0.120148,-0.980179,0.043167,0.988458,5268.080656
8834.068,883.4068,-0.079224,-0.985657,0.062454,0.990806,5268.110204
8863.614,886.3614,-0.11554,-0.995117,0.069473,1.004208,5268.13975
8893.133,889.3133,-0.10878,-0.977127,0.067413,0.985472,5268.169269
8922.71,892.271,-0.08963,-0.982819,0.072968,0.989591,5268.198846
8952.255,895.2255,-0.091003,-0.980545,0.085175,0.988436,5268.228391
8981.802,898.1802,-0.121567,-0.977646,0.06517,0.987328,5268.257938
9011.347,901.1347,-0.123795,-0.980423,0.062881,0.990206,5268.287483
9040.894,904.0894,-0.1138,-0.968506,0.064407,0.977293,5268.31703
9070.424,907.0424,-0.107224,-0.978638,0.074249,0.98729,5268.34656
9099.987,909.9987,-0.10849,-0.965454,0.087875,0.975497,5268.376123
9129.533,912.9533,-0.092987,-0.981079,0.102905,0.990834,5268.405669
9159.08,915.908,-0.056625,-0.981506,0.101334,0.988347,5268.435216
9188.626,918.8626,-0.073349,-0.990707,0.121384,1.000807,5268.464762
9218.175,921.8175,-0.064804,-0.973984,0.117691,0.983207,5268.494311
9247.723,924.7723,-0.058304,-0.978088,0.119308,0.987062,5268.523859
9277.268,927.7268,-0.066727,-0.978165,0.121704,0.987963,5268.553404
9306.812,930.6812,-0.071854,-0.978851,0.123001,0.989162,5268.582948
9336.357,933.6357,-0.046356,-0.98822,0.11676,0.996173,5268.612493
9365.901,936.5901,-0.056442,-0.972946,0.100937,0.979795,5268.642037
9395.446,939.5446,-0.063126,-0.978119,0.138565,0.9899,5268.671582
9424.989,942.4989,-0.036438,-0.982269,0.098251,0.987843,5268.701125
9454.531,945.4531,0.068192,-0.998016,0.115738,1.007016,5268.730667
9484.076,948.4076,0.03949,-0.981293,0.148468,0.993246,5268.760212
9513.62,951.362,-0.062546,-0.960693,0.176834,0.978833,5268.789756
9543.165,954.3165,0.001801,-0.972565,0.170074,0.987325,5268.819301
9572.71,957.271,0.017868,-0.952179,0.143906,0.963158,5268.848846
9602.257,960.2257,-0.113449,-1.044601,0.199905,1.069591,5268.878393
9631.801,963.1801,-0.03717,-0.932388,0.190567,0.952389,5268.907937
9661.345,966.1345,-0.026367,-0.963348,0.232864,0.991444,5268.937481
9690.888,969.0888,0.080566,-1.061646,0.302551,1.106851,5268.967024
9720.431,972.0431,0.214935,-0.773224,0.225281,0.833561,5268.996567
9749.973,974.9973,0.15274,-0.844223,0.25473,0.894947,5269.026109
9779.517,977.9517,-0.605301,-1.48526,0.554367,1.696971,5269.055653
9809.06,980.906,-0.386261,-0.689499,-1.212845,1.447618,5269.085196
9838.607,983.8607,1.211136,-1.70842,1.139893,2.384304,5269.114743
9868.154,986.8154,0.601044,-0.852432,0.820557,1.327105,5269.14429
9897.7,989.77,0.328491,-0.825272,0.649399,1.100317,5269.173836
9927.243,992.7243,0.196594,-0.679947,0.412125,0.819038,5269.203379
9956.791,995.6791,0.174393,-0.443146,0.292908,0.559094,5269.232927
9986.336,998.6336,0.08429,-0.305603,0.15686,0.353699,5269.262472
10015.882,1001.5882,0.100449,-0.180908,0.092224,0.226546,5269.292018
10045.427,1004.5427,0.205673,-0.321777,0.13327,0.404479,5269.321563
10074.973,1007.4973,0.2052,-0.49736,0.164322,0.562562,5269.351109
10104.515,1010.4515,0.237579,-0.635391,0.413071,0.794225,5269.380651
10134.062,1013.4062,0.153015,-0.805023,0.515305,0.967995,5269.410198
10163.607,1016.3607,0.250305,-0.992462,0.471161,1.126777,5269.439743
10193.152,1019.3152,0.456009,-1.194183,0.418365,1.345008,5269.469288
10222.697,1022.2697,0.241959,-1.221207,0.510361,1.345495,5269.498833
10252.246,1025.2246,0.17453,-1.072189,0.574951,1.229073,5269.528382
10281.788,1028.1788,-0.017807,-0.950439,0.267685,0.987577,5269.557924
10311.34,1031.134,-0.186325,-1.075363,0.062119,1.093152,5269.587476
10340.886,1034.0886,-0.078445,-1.144562,0.037506,1.14786,5269.617022
10370.432,1037.0432,0.126556,-1.282257,0.150162,1.297208,5269.646568
10399.982,1039.9982,0.271881,-1.293716,0.253571,1.346076,5269.676118
10429.532,1042.9532,0.260941,-1.245682,0.377121,1.327416,5269.705668
10459.049,1045.9049,0.014481,-1.123322,0.350723,1.176889,5269.735185
10488.62,1048.862,0.087585,-1.001251,0.318298,1.054272,5269.764756
10518.167,1051.8167,0.028671,-0.951279,0.336258,1.009367,5269.794303
10547.711,1054.7711,0.021957,-0.957321,0.244705,0.988345,5269.823847
10577.255,1057.7255,0.057068,-0.954437,0.270645,0.993708,5269.853391
10606.802,1060.6802,0.058655,-0.973129,0.248108,1.005971,5269.882938
