timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
1580,-0.908018,1.442758,-1.578746,-0.120862,-0.329352,0.48755,-0.100656,-0.991814,-0.078568,0.051278,-0.031715,-0.016463,-22.732853,-31.997734,-9.475178
1600,-0.950447,1.433277,-1.543178,-0.081736,-0.368577,0.546213,-0.111543,-0.990559,-0.079691,0.033266,-0.012874,0.035425,-23.257504,-31.638416,-9.408266
1620,-1.014782,1.424017,-1.485152,-0.134847,-0.286191,0.626054,-0.124223,-0.989247,-0.077193,0.000138,0.007069,0.070846,-23.867386,-31.2302,-9.243315
1640,-1.037949,1.411578,-1.466832,-0.232545,-0.230705,0.592865,-0.136566,-0.987352,-0.08054,-0.015259,0.0244,0.033329,-24.313683,-30.934338,-9.073481
1660,-1.050104,1.398468,-1.458536,-0.234519,-0.198877,0.575822,-0.148751,-0.985188,-0.085306,-0.003394,0.03571,-0.017248,-24.313683,-30.934338,-9.073481
1680,-1.065608,1.386581,-1.446979,-0.186603,-0.208662,0.564182,-0.160293,-0.98308,-0.088651,0.005645,0.008791,-0.008044,-25.018856,-30.340797,-9.160204
1700,-1.079483,1.375093,-1.437737,-0.211277,-0.27355,0.535354,-0.171455,-0.980911,-0.091741,0.013114,-0.008682,0.000646,-25.49074,-29.94195,-9.171605
1720,-1.097077,1.364129,-1.426113,-0.222074,-0.29036,0.573689,-0.182602,-0.97872,-0.093612,-0.001907,0.03176,0.066756,-25.49074,-29.94195,-9.171605
1740,-1.104302,1.351597,-1.424278,-0.303947,-0.269977,0.549043,-0.194214,-0.976072,-0.097799,-0.024964,0.016691,0.061803,-26.052094,-29.478258,-9.095998
1760,-1.099999,1.339127,-1.434154,-0.417723,-0.263494,0.479586,-0.204624,-0.973284,-0.104147,-0.006161,-0.001005,0.028372,-26.052094,-29.478258,-9.095998
1780,-1.093841,1.327129,-1.446666,-0.402019,-0.331558,0.487055,-0.214337,-0.97046,-0.110758,0.020352,-0.004348,-0.002004,-26.776159,-28.792881,-9.188248
1800,-1.093765,1.313753,-1.453932,-0.392714,-0.341771,0.593622,-0.225841,-0.967146,-0.116724,0.025234,0.030745,0.011759,-27.098675,-28.466852,-9.258337
1820,-1.093126,1.299233,-1.461308,-0.442705,-0.314949,0.609524,-0.238214,-0.963353,-0.123312,0.028436,0.014332,0.011953,-27.677456,-27.886787,-9.311388
1840,-1.089113,1.284496,-1.471835,-0.476686,-0.311803,0.571105,-0.250272,-0.959295,-0.13083,0.079419,-0.044886,-0.046385,-27.677456,-27.886787,-9.311388
1860,-1.086228,1.269338,-1.481481,-0.470677,-0.337873,0.695776,-0.262731,-0.954904,-0.13831,0.142111,-0.070166,-0.021037,-28.251049,-27.265583,-9.427769
1880,-1.093268,1.250477,-1.482339,-0.432045,-0.41471,0.909997,-0.279646,-0.949135,-0.144709,0.112883,-0.074348,0.033564,-28.881496,-26.564507,-9.51854
1900,-1.104239,1.22929,-1.479921,-0.46426,-0.437652,0.988784,-0.299112,-0.942251,-0.150646,0.070719,-0.101648,0.068538,-28.881496,-26.564507,-9.51854
1920,-1.111807,1.206467,-1.480838,-0.560118,-0.414819,1.029112,-0.319443,-0.934363,-0.157866,0.109726,-0.113763,0.065245,-30.032255,-25.266996,-9.489937
1940,-1.117975,1.18191,-1.483688,-0.592492,-0.474934,1.116415,-0.340945,-0.925332,-0.165883,0.144869,-0.124228,0.057073,-30.477291,-24.719896,-9.511993
1960,-1.128799,1.1557,-1.483222,-0.535397,-0.519321,1.226254,-0.364522,-0.915078,-0.1725,0.175695,-0.148109,0.094894,-30.477291,-24.719896,-9.511993
1980,-1.142234,1.128348,-1.480479,-0.520868,-0.588246,1.280604,-0.389433,-0.903706,-0.177925,0.212981,-0.22755,0.094643,-31.602242,-23.285347,-9.460836
2000,-1.159042,1.099683,-1.475491,-0.456281,-0.611315,1.409642,-0.415944,-0.891063,-0.18165,0.245625,-0.22501,0.146723,-31.602242,-23.285347,-9.460836
2020,-1.177128,1.068984,-1.467786,-0.429649,-0.553605,1.502404,-0.444221,-0.876712,-0.184507,0.296654,-0.224911,0.208677,-32.98925,-21.405779,-9.160706
2040,-1.196886,1.037278,-1.461558,-0.470375,-0.872176,1.556597,-0.473427,-0.861023,-0.185758,0.4403,-0.329269,0.160123,-33.710426,-20.337704,-8.966679
2060,-1.225531,1.002832,-1.45845,-0.568117,-1.570766,1.702233,-0.506172,-0.842998,-0.182056,0.547325,-0.384038,0.156818,-34.839294,-18.618858,-8.365305
2080,-1.268179,0.959302,-1.455496,-0.648048,-2.27328,2.441402,-0.548004,-0.818791,-0.171091,0.75084,-0.496486,0.346506,-35.999447,-16.863056,-7.07769
2100,-1.314339,0.893064,-1.455013,-1.104484,-2.253656,3.68302,-0.606521,-0.778997,-0.159049,0.453978,-0.576991,0.419166,-35.999447,-16.863056,-7.07769
2120,-1.347522,0.806946,-1.465186,-1.492928,-1.898428,4.145934,-0.674537,-0.722178,-0.153161,0.417869,-0.536718,0.388222,-37.848579,-13.159677,-4.972353
